中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,280 Mbps,35840 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,61 ms,43 Mbps,5601 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,247 Mbps,31641 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,94 ms,235 Mbps,30105 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,81 ms,285 Mbps,36556 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,30 ms,607 Mbps,77721 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,88 ms,199 Mbps,25497 kB/s
198.46.188.190,443,2a09:bac5:a5fe:7cd::c7:12,US,Buffalo,隧道,105 ms,81 Mbps,10444 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,46 Mbps,5926 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,327 Mbps,41881 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,77 ms,312 Mbps,40038 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,210 ms,27 Mbps,3568 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,236 Mbps,30208 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,101 ms,76 Mbps,9788 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,13 ms,41 Mbps,5291 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,25 ms,576 Mbps,73728 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,15 ms,88 Mbps,11264 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,69 ms,312 Mbps,40038 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,42 ms,787 Mbps,100761 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,108 ms,52 Mbps,6675 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,76 ms,264 Mbps,33894 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,73 ms,125 Mbps,16076 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,36 ms,368 Mbps,47104 kB/s
158.101.214.219,443,2a0b:21c0:100a:1b2:0:5984:77de:6348,DE,Frankfurt,隧道,93 ms,128 Mbps,16384 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,233 Mbps,29900 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,90 ms,112 Mbps,14438 kB/s
141.147.74.20,443,141.147.74.20,GB,London,中转,79 ms,253 Mbps,32460 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,87 ms,43 Mbps,5570 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,129 ms,479 Mbps,61337 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,161 ms,273 Mbps,35020 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,267 Mbps,34201 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,200 Mbps,25702 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,97 ms,41 Mbps,5366 kB/s
130.61.23.77,443,130.61.23.77,131 Mbps,16793 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
158.101.11.22,443,2603:c020:e:4d00:dce9:917b:fdb8:24bc,US,Los Angeles,隧道,65 ms,45 Mbps,5857 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,207 ms,118 Mbps,15155 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,78 ms,252 Mbps,32256 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,79 ms,69 Mbps,8895 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,201 ms,92 Mbps,11776 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,74 ms,306 Mbps,39219 kB/s
