中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,169 ms,79 Mbps,10137 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,170 ms,67 Mbps,8666 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,157 ms,120 Mbps,15360 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,172 ms,68 Mbps,8777 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,169 ms,84 Mbps,10854 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,182 ms,88 Mbps,11264 kB/s
158.101.148.105,443,158.101.148.105,JP,Tokyo,中转,146 ms,67 Mbps,8627 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,174 ms,22 Mbps,2867 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,168 ms,77 Mbps,9932 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,50 ms,640 Mbps,81920 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,153 ms,123 Mbps,15769 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,95 ms,340 Mbps,43622 kB/s
103.137.63.3,443,61.224.97.252,TW,,隧道,150 ms,129 Mbps,16588 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,35 ms,718 Mbps,91955 kB/s
54.203.85.46,443,204.110.220.23,US,,隧道,25 ms,717 Mbps,91852 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,160 ms,104 Mbps,13414 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,225 ms,45 Mbps,5800 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,104 Mbps,13414 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,66 ms,14 Mbps,1828 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,171 ms,78 Mbps,10035 kB/s
132.145.82.137,443,132.145.82.137,KR,,中转,160 ms,7 Mbps,948 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,67 ms,292 Mbps,37376 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,25 ms,554 Mbps,70963 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,163 ms,120 Mbps,15360 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,220 ms,45 Mbps,5794 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,210 ms,114 Mbps,14643 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,161 ms,115 Mbps,14745 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,162 ms,97 Mbps,12492 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,110 Mbps,14131 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,109 Mbps,14028 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,165 ms,110 Mbps,14131 kB/s
138.2.157.236,443,2603:c020:8000:3988:fde5:6ac8:8a74:5529,DE,Frankfurt,隧道,154 ms,105 Mbps,13516 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,170 ms,16 Mbps,2110 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,191 ms,84 Mbps,10752 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,155 ms,60 Mbps,7769 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,228 ms,63 Mbps,8068 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,83 ms,47 Mbps,6033 kB/s
