中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
107.172.98.6,443,107.172.98.6,US,San Jose,中转,69 ms,328 Mbps,42086 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,222 Mbps,28467 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,286 Mbps,36659 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,13 ms,47 Mbps,6123 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,46 Mbps,5940 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,39 ms,559 Mbps,71577 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,112 ms,64 Mbps,8281 kB/s
192.9.138.241,443,192.9.138.241,US,231 Mbps,29593 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,80 ms,303 Mbps,38809 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,39 ms,76 Mbps,9845 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,28 ms,629 Mbps,80588 kB/s
35.198.83.144,443,2a0b:21c0:100a:1b4:0:8e1c:aa81:7678,DE,Frankfurt,隧道,91 ms,142 Mbps,18227 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,298 Mbps,38195 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,283 Mbps,36249 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,314 Mbps,40243 kB/s
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,5 ms,345 Mbps,44236 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,335 Mbps,42905 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,312 Mbps,39936 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,228 Mbps,29184 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,91 ms,143 Mbps,18329 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,59 ms,364 Mbps,46694 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,98 ms,204 Mbps,26112 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,184 Mbps,23552 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,91 ms,45 Mbps,5810 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,91 ms,124 Mbps,15872 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,77 ms,258 Mbps,33075 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,45 Mbps,5790 kB/s
192.9.132.79,443,192.9.132.79,US,San Jose,中转,78 ms,251 Mbps,32153 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,35 ms,473 Mbps,60620 kB/s
193.123.60.41,443,2a0b:21c0:1007:c7:0:867c:9fec:154b,DE,Frankfurt,隧道,121 ms,184 Mbps,23552 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,186 Mbps,23859 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,179 ms,262 Mbps,33587 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,106 ms,50 Mbps,6500 kB/s
34.154.110.117,443,98.98.166.182,AE,Frankfurt,隧道,107 ms,175 Mbps,22425 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,71 ms,342 Mbps,43827 kB/s
138.2.157.236,443,2603:c020:8000:3988:fde5:6ac8:8a74:5529,DE,Frankfurt,隧道,117 ms,226 Mbps,28979 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,131 ms,51 Mbps,6579 kB/s
141.144.253.109,443,141.144.253.109,DE,Paris,中转,91 ms,48 Mbps,6235 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,268 ms,46 Mbps,5951 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,233 Mbps,29900 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,118 Mbps,15155 kB/s
