中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,296 Mbps,37990 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,742 Mbps,95027 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,376 Mbps,48128 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,45 Mbps,5871 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,332 Mbps,42496 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,439 Mbps,56217 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,56 ms,313 Mbps,40140 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,100 ms,379 Mbps,48537 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,38 ms,422 Mbps,54067 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,98 ms,41 Mbps,5372 kB/s
35.230.79.26,443,34.82.144.89,US,Seattle,隧道,50 ms,427 Mbps,54681 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,57 ms,50 Mbps,6478 kB/s
35.197.23.75,443,34.82.144.89,US,Seattle,隧道,48 ms,481 Mbps,61644 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,35 ms,673 Mbps,86220 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,20 ms,33 Mbps,4325 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,49 ms,358 Mbps,45875 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,25 ms,656 Mbps,84070 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,46 Mbps,5974 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,208 ms,351 Mbps,44953 kB/s
34.82.76.253,443,34.168.34.122,US,Seattle,隧道,55 ms,441 Mbps,56524 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,85 ms,377 Mbps,48332 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,120 ms,385 Mbps,49356 kB/s
138.3.254.39,443,138.3.254.39,DE,167 Mbps,21401 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,188 Mbps,24064 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,176 Mbps,22630 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,155 ms,109 Mbps,14028 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,172 ms,44 Mbps,5723 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,70 Mbps,9050 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,120 ms,105 Mbps,13516 kB/s
