中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,78 ms,200 Mbps,25702 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,93 ms,217 Mbps,27852 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,74 ms,280 Mbps,35942 kB/s
35.230.79.26,443,34.83.206.197,US,Seattle,隧道,68 ms,286 Mbps,36659 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,309 Mbps,39628 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,313 Mbps,40140 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,7 ms,84 Mbps,10752 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,93 ms,46 Mbps,5891 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,56 ms,348 Mbps,44646 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,158 Mbps,20275 kB/s
35.197.23.75,443,34.83.206.197,US,Seattle,隧道,69 ms,296 Mbps,37990 kB/s
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,125 ms,345 Mbps,44236 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,88 ms,656 Mbps,83968 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,77 ms,383 Mbps,49049 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,204 ms,48 Mbps,6199 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,88 ms,209 Mbps,26828 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,172 Mbps,22016 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,93 ms,180 Mbps,23142 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,210 Mbps,26931 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,65 ms,537 Mbps,68812 kB/s
104.168.13.195,443,104.168.13.195,US,San Jose,中转,70 ms,261 Mbps,33484 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,295 Mbps,37785 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,227 Mbps,29081 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,261 Mbps,33484 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,72 ms,56 Mbps,7198 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,352 Mbps,45056 kB/s
