中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.123.59.251,443,2a0b:21c0:1007:c9:0:f4a0:89d4:5cb3,DE,Frankfurt,隧道,98 ms,171 Mbps,21913 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,225 ms,66 Mbps,8508 kB/s
132.226.213.145,443,2606:f240:f00:5a42:0:43c3:e23e:cfbe,US,Frankfurt,隧道,153 ms,224 Mbps,28774 kB/s
130.162.247.124,443,2606:f240:f00:83a7:0:32a6:d7ff:9c33,US,Frankfurt,隧道,91 ms,218 Mbps,27955 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,223 ms,60 Mbps,7789 kB/s
138.2.61.180,443,104.28.206.113,JP,Osaka,隧道,387 ms,51 Mbps,6571 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,87 Mbps,11161 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,217 ms,32 Mbps,4205 kB/s
138.2.18.228,443,2602:ffe4:407:20d9:0:89dc:f46a:382e,SG,Singapore,隧道,237 ms,50 Mbps,6499 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,89 ms,41 Mbps,5341 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,227 ms,66 Mbps,8528 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,325 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,223 ms,67 Mbps,8626 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,220 ms,20 Mbps,2570 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,225 ms,66 Mbps,8527 kB/s
158.101.85.32,443,128.14.110.204,US,Singapore,隧道,230 ms,65 Mbps,8438 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,93 ms,136 Mbps,17408 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,22 ms,770 Mbps,98611 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,241 ms,35 Mbps,4520 kB/s
144.24.167.56,443,2a0b:21c0:1007:c8:0:23c7:4c53:bf82,DE,Frankfurt,隧道,91 ms,153 Mbps,19660 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,188 ms,61 Mbps,7812 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,205 Mbps,26316 kB/s
103.137.63.3,443,61.224.65.153,TW,,隧道,202 ms,72 Mbps,9307 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,64 ms,1 Mbps,185 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,152 ms,160 Mbps,20582 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,84 ms,209 Mbps,26828 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,89 ms,196 Mbps,25088 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,92 ms,164 Mbps,21094 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,83 ms,231 Mbps,29593 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,91 ms,69 Mbps,8923 kB/s
54.203.85.46,443,204.110.220.150,US,,隧道,96 ms,251 Mbps,32153 kB/s
141.147.86.166,443,2606:f240:f00:6f50:0:da60:f37e:975e,US,Zurich,隧道,152 ms,244 Mbps,31232 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,27 ms,459 Mbps,58777 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,83 ms,7 Mbps,955 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,137 ms,274 Mbps,35123 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,92 ms,184 Mbps,23654 kB/s
130.162.210.11,443,2a0b:21c0:1007:ca:0:29a8:71ca:b9b6,DE,Frankfurt,隧道,106 ms,214 Mbps,27443 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,94 ms,180 Mbps,23142 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,225 ms,67 Mbps,8680 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,91 ms,224 Mbps,28774 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,102 ms,218 Mbps,27955 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,91 ms,158 Mbps,20275 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,90 ms,176 Mbps,22630 kB/s
141.144.192.206,443,2606:f240:f00:b2ed:0:c312:d292:882a,US,Frankfurt,隧道,96 ms,112 Mbps,14336 kB/s
141.147.68.17,443,2a0b:21c0:1007:cb:0:590b:127a:61c1,DE,Frankfurt,隧道,95 ms,140 Mbps,17920 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,91 ms,116 Mbps,14950 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,205 ms,47 Mbps,6117 kB/s
130.162.164.104,443,2a0b:21c0:1007:c9:0:8d33:809f:2598,DE,Frankfurt,隧道,94 ms,161 Mbps,20684 kB/s
130.162.228.251,443,2a0b:21c0:100a:1b6:0:3b13:9d3d:ca49,DE,Frankfurt,隧道,134 ms,119 Mbps,15257 kB/s
141.148.240.110,443,2606:f240:f00:6acf:0:a968:a197:605b,US,Frankfurt,隧道,96 ms,196 Mbps,25088 kB/s
130.162.165.247,443,209.177.81.218,US,Frankfurt,隧道,93 ms,100 Mbps,12902 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::299:3b,KR,Seoul,隧道,226 ms,1 Mbps,135 kB/s
138.3.250.14,443,2606:f240:f00:eaf1:0:8b90:cf37:13ac,US,Frankfurt,隧道,91 ms,91 Mbps,11673 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,226 ms,67 Mbps,8619 kB/s
152.67.149.55,443,98.98.166.194,AE,Frankfurt,隧道,93 ms,223 Mbps,28569 kB/s
132.226.131.189,443,98.98.156.10,AE,Frankfurt,隧道,94 ms,128 Mbps,16384 kB/s
141.147.106.138,443,2a0b:21c0:1007:1c8:0:d9a8:e969:71d4,DE,Frankfurt,隧道,93 ms,223 Mbps,28569 kB/s
144.21.42.13,443,2606:f240:f00:2be4:0:4859:520b:61e8,US,Frankfurt,隧道,161 ms,222 Mbps,28467 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,211 ms,38 Mbps,4913 kB/s
141.147.7.64,443,2a0b:21c0:1007:c7:0:e10f:ed06:eec8,DE,Frankfurt,隧道,91 ms,186 Mbps,23859 kB/s
144.24.161.173,443,2606:f240:f00:eaf1:0:6813:e2e3:5542,US,Frankfurt,隧道,93 ms,122 Mbps,15667 kB/s
141.147.77.113,443,98.98.166.186,AE,Frankfurt,隧道,165 ms,172 Mbps,22118 kB/s
141.147.97.81,443,2a0b:21c0:1007:1c9:0:bd91:4514:2ae0,DE,Frankfurt,隧道,93 ms,163 Mbps,20889 kB/s
152.70.99.142,443,2602:ffe4:407:20d9:0:e8b6:34cd:706b,SG,Singapore,隧道,230 ms,59 Mbps,7622 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,285 ms,63 Mbps,8083 kB/s
132.226.213.90,443,2a0b:21c0:100a:1b5:0:60f0:8e84:1252,DE,Frankfurt,隧道,93 ms,123 Mbps,15769 kB/s
130.162.163.83,443,2a0b:21c0:100a:1b7:0:d691:2f3b:8ed4,DE,Frankfurt,隧道,93 ms,116 Mbps,14950 kB/s
141.147.99.18,443,2a0b:21c0:100a:1b0:0:d3c2:28f6:710c,DE,Frankfurt,隧道,93 ms,119 Mbps,15257 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,223 ms,69 Mbps,8846 kB/s
152.70.183.95,443,2606:f240:f00:6f50:0:ca9c:3be2:815f,US,Frankfurt,隧道,91 ms,205 Mbps,26316 kB/s
152.67.151.15,443,98.98.156.14,AE,Frankfurt,隧道,93 ms,116 Mbps,14848 kB/s
152.67.150.53,443,163.123.193.23,DE,Frankfurt,隧道,91 ms,132 Mbps,16896 kB/s
152.67.130.99,443,2a0b:21c0:1007:cb:0:d8a8:ee17:965,DE,Frankfurt,隧道,98 ms,143 Mbps,18329 kB/s
141.147.48.134,443,2a0b:21c0:1007:ca:0:8c43:e8d0:23c,DE,Frankfurt,隧道,94 ms,240 Mbps,30822 kB/s
141.144.252.193,443,2a0b:21c0:100a:1b6:0:376e:77d0:caf3,DE,Frankfurt,隧道,91 ms,132 Mbps,16896 kB/s
193.123.39.247,443,163.123.193.23,DE,Frankfurt,隧道,94 ms,124 Mbps,15974 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,57 ms,34 Mbps,4406 kB/s
152.67.146.207,443,2a0b:21c0:100a:1b2:0:6bc9:ebbd:3e6e,DE,Frankfurt,隧道,94 ms,128 Mbps,16486 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,61 ms,49 Mbps,6354 kB/s
193.123.34.250,443,2a0b:21c0:100a:1b1:0:8c82:acbd:c5c,DE,Frankfurt,隧道,94 ms,117 Mbps,15052 kB/s
158.101.203.203,443,2a0b:21c0:100a:1b3:0:d651:35fd:bfdd,DE,Frankfurt,隧道,94 ms,126 Mbps,16179 kB/s
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,256 ms,2 Mbps,266 kB/s
130.162.179.227,443,2a0b:21c0:100a:1fa:0:2f66:f6ef:ddaf,DE,Frankfurt,隧道,93 ms,113 Mbps,14540 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,221 ms,64 Mbps,8316 kB/s
144.21.36.5,443,98.98.166.170,AE,Frankfurt,隧道,94 ms,143 Mbps,18329 kB/s
141.147.72.5,443,2a0b:21c0:100a:1b1:0:c1ab:c6d:438,DE,Frankfurt,隧道,94 ms,122 Mbps,15667 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,220 ms,59 Mbps,7643 kB/s
158.101.208.228,443,2a0b:21c0:100a:1b3:0:243f:815e:2db0,DE,Frankfurt,隧道,94 ms,112 Mbps,14336 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,227 ms,56 Mbps,7269 kB/s
158.101.216.239,443,98.98.156.18,AE,Frankfurt,隧道,99 ms,115 Mbps,14745 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,225 ms,58 Mbps,7544 kB/s
152.69.227.187,443,128.14.110.204,US,Singapore,隧道,246 ms,50 Mbps,6488 kB/s
