中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,214 ms,72 Mbps,9302 kB/s,9302.0
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,211 ms,72 Mbps,9289 kB/s,9289.0
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,284 ms,72 Mbps,9251 kB/s,9251.0
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,191 ms,72 Mbps,9250 kB/s,9250.0
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,217 ms,71 Mbps,9199 kB/s,9199.0
103.137.63.3,443,61.224.96.123,TW,,隧道,195 ms,71 Mbps,9171 kB/s,9171.0
152.70.82.108,443,152.70.82.108,JP,Osaka,中转,210 ms,71 Mbps,9113 kB/s,9113.0
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,212 ms,71 Mbps,9101 kB/s,9101.0
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,275 ms,70 Mbps,8976 kB/s,8976.0
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,214 ms,69 Mbps,8933 kB/s,8933.0
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,214 ms,69 Mbps,8927 kB/s,8927.0
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,211 ms,69 Mbps,8924 kB/s,8924.0
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,214 ms,69 Mbps,8900 kB/s,8900.0
8.222.175.6,443,8.222.175.6,SG,,中转,356 ms,69 Mbps,8851 kB/s,8851.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,198 ms,69 Mbps,8841 kB/s,8841.0
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,215 ms,68 Mbps,8768 kB/s,8768.0
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,263 ms,68 Mbps,8725 kB/s,8725.0
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,73 ms,67 Mbps,8686 kB/s,8686.0
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,210 ms,67 Mbps,8632 kB/s,8632.0
8.222.181.139,443,8.222.175.6,SG,,隧道,219 ms,67 Mbps,8620 kB/s,8620.0
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,212 ms,67 Mbps,8580 kB/s,8580.0
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,208 ms,66 Mbps,8550 kB/s,8550.0
