中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
138.2.164.68,443,163.123.193.23,DE,Frankfurt,隧道,92 ms,107 Mbps,13721 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,69 ms,229 Mbps,29388 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,69 ms,47 Mbps,6096 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,90 ms,180 Mbps,23040 kB/s
130.162.179.86,443,2a0b:21c0:100a:1b7:0:90c4:26e:67b2,DE,Frankfurt,隧道,97 ms,123 Mbps,15769 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,34 ms,45 Mbps,5772 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,39 ms,7 Mbps,963 kB/s
158.101.212.255,443,2606:f240:f00:6acf:0:ec2d:c61f:7c34,US,Frankfurt,隧道,116 ms,229 Mbps,29388 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,68 ms,0 Mbps,1 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,43 ms,63 Mbps,8098 kB/s
138.2.168.241,443,2a0b:21c0:1007:cb:0:7a50:25e0:6f22,DE,Frankfurt,隧道,145 ms,198 Mbps,25395 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,130 ms,46 Mbps,5895 kB/s
152.67.231.226,443,2603:c024:c011:e604:b4a7:a00f:ce99:dfa9,US,San Jose,隧道,85 ms,290 Mbps,37171 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,108 ms,48 Mbps,6202 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,66 ms,120 Mbps,15462 kB/s
132.226.128.35,443,2606:f240:f00:2be4:0:e2fb:6594:b223,US,Frankfurt,隧道,96 ms,173 Mbps,22220 kB/s
138.197.104.86,443,138.197.104.86,US,Newark,中转,11 ms,510 Mbps,65331 kB/s
141.148.241.185,443,2606:f240:f00:46c4:0:517f:8123:c610,US,Frankfurt,隧道,89 ms,121 Mbps,15564 kB/s
144.21.36.100,443,98.98.166.58,AE,Frankfurt,隧道,89 ms,204 Mbps,26112 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,93 ms,216 Mbps,27750 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,125 Mbps,16076 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,64 ms,88 Mbps,11264 kB/s
141.147.74.225,443,98.98.166.58,AE,Frankfurt,隧道,101 ms,172 Mbps,22118 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,61 ms,1368 Mbps,175104 kB/s
141.147.8.55,443,2a0b:21c0:100a:1b2:0:9fef:64bd:7e30,DE,Frankfurt,隧道,90 ms,136 Mbps,17408 kB/s
141.147.77.223,443,2a0b:21c0:1007:1cb:0:3140:a8e7:bd43,DE,Frankfurt,隧道,106 ms,223 Mbps,28569 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,82 ms,104 Mbps,13312 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,84 ms,33 Mbps,4310 kB/s
138.2.131.84,443,2606:f240:f00:46c4:0:432:3382:77a4,US,Frankfurt,隧道,91 ms,116 Mbps,14950 kB/s
143.47.230.192,443,2a0b:21c0:100a:1b2:0:fb28:df1e:4451,DE,Frankfurt,隧道,97 ms,118 Mbps,15155 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,84 ms,228 Mbps,29286 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,144 ms,46 Mbps,5937 kB/s
143.47.253.5,443,2a0b:21c0:100a:1b0:0:a4e0:3605:89db,DE,Frankfurt,隧道,99 ms,108 Mbps,13824 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,133 ms,266 Mbps,34099 kB/s
152.67.78.184,443,152.67.78.184,CH,Milan,中转,99 ms,28 Mbps,3625 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,93 ms,45 Mbps,5795 kB/s
158.101.202.114,443,2606:f240:f00:b2ed:0:55e:1b:4024,US,Frankfurt,隧道,93 ms,192 Mbps,24678 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,69 ms,6 Mbps,809 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,225 ms,54 Mbps,6915 kB/s
143.47.188.206,443,163.123.193.4,DE,Frankfurt,隧道,89 ms,253 Mbps,32460 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,95 ms,103 Mbps,13209 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,89 ms,37 Mbps,4858 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,225 ms,53 Mbps,6792 kB/s
144.21.63.210,443,2606:f240:f00:a683:0:269c:e245:443,US,Frankfurt,隧道,92 ms,223 Mbps,28569 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,110 ms,326 Mbps,41779 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,91 ms,222 Mbps,28467 kB/s
143.47.236.15,443,2a0b:21c0:100a:1b3:0:38fe:6be2:9cde,DE,Frankfurt,隧道,93 ms,126 Mbps,16179 kB/s
