中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,88 ms,225 Mbps,28876 kB/s
5.161.210.3,443,5.161.210.3,US,Ashburn,中转,18 ms,1160 Mbps,148480 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,60 ms,111 Mbps,14233 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,4 ms,808 Mbps,103424 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,5 ms,34 Mbps,4430 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,84 ms,47 Mbps,6112 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,14 ms,67 Mbps,8624 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,73 ms,254 Mbps,32563 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,83 ms,46 Mbps,5982 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,80 ms,46 Mbps,5913 kB/s
192.18.134.28,443,2a09:bac5:6440:28::4:2de,US,San Jose,隧道,81 ms,43 Mbps,5545 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,41 ms,57 Mbps,7386 kB/s
5.161.50.246,443,5.161.50.246,US,Ashburn,中转,33 ms,625 Mbps,80076 kB/s
8.209.126.100,443,2a0b:21c0:100a:1b2:0:41ac:b3de:e8f,DE,Frankfurt,隧道,87 ms,127 Mbps,16281 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,60 ms,222 Mbps,28467 kB/s
5.161.228.130,443,2a01:4ff:f0:2d61::1,US,Ashburn,隧道,12 ms,1016 Mbps,130048 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,80 ms,224 Mbps,28774 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,30 ms,53 Mbps,6879 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,80 ms,225 Mbps,28876 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,80 ms,270 Mbps,34611 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,65 ms,168 Mbps,21606 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,86 ms,84 Mbps,10752 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,73 ms,262 Mbps,33587 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,200 Mbps,25702 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,65 ms,51 Mbps,6562 kB/s
152.67.254.70,443,152.67.254.70,US,San Jose,中转,74 ms,42 Mbps,5393 kB/s
152.67.78.184,443,152.67.78.184,CH,Milan,中转,95 ms,43 Mbps,5572 kB/s
204.216.218.114,443,204.216.218.114,IT,Zurich,中转,96 ms,50 Mbps,6423 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,85 ms,44 Mbps,5690 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,87 ms,36 Mbps,4641 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,194 ms,76 Mbps,9818 kB/s
8.211.42.180,443,2a0b:21c0:1007:cb:0:764e:5240:12be,DE,Frankfurt,隧道,86 ms,124 Mbps,15974 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,222 ms,58 Mbps,7523 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,115 ms,148 Mbps,19046 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,328 ms,67 Mbps,8594 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,223 ms,65 Mbps,8405 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,224 ms,77 Mbps,9928 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,210 ms,68 Mbps,8826 kB/s
152.67.44.30,443,152.67.44.30,BR,Rio de Janeiro,中转,117 ms,40 Mbps,5232 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,223 ms,62 Mbps,7976 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,212 ms,34 Mbps,4402 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,225 ms,62 Mbps,7952 kB/s
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,212 ms,55 Mbps,7069 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,189 ms,44 Mbps,5647 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,189 ms,45 Mbps,5835 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,75 ms,1 Mbps,146 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,239 ms,54 Mbps,7029 kB/s
8.218.63.172,443,8.218.63.172,HK,Hong Kong,中转,205 ms,5 Mbps,705 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,202 ms,33 Mbps,4328 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,220 ms,42 Mbps,5388 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,226 ms,55 Mbps,7089 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,226 ms,80 Mbps,10240 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,323 ms,65 Mbps,8358 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,219 ms,65 Mbps,8383 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,310 ms,71 Mbps,9097 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,222 ms,80 Mbps,10240 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,244 ms,64 Mbps,8253 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,223 ms,62 Mbps,8036 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,223 ms,62 Mbps,8062 kB/s
8.217.121.210,443,8.217.121.210,HK,Hong Kong,中转,208 ms,55 Mbps,7140 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,188 ms,72 Mbps,9326 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,222 ms,59 Mbps,7597 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,269 ms,58 Mbps,7492 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,224 ms,54 Mbps,6923 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,206 ms,22 Mbps,2876 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,224 ms,71 Mbps,9110 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,223 ms,70 Mbps,9057 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,209 ms,60 Mbps,7681 kB/s
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,189 ms,83 Mbps,10649 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,225 ms,35 Mbps,4503 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,222 ms,61 Mbps,7918 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,280 ms,60 Mbps,7772 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,224 ms,61 Mbps,7853 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,223 ms,61 Mbps,7811 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,223 ms,56 Mbps,7220 kB/s
47.243.173.187,443,47.243.173.187,HK,Hong Kong,中转,210 ms,5 Mbps,727 kB/s
138.2.104.102,443,138.2.104.102,SG,Singapore,中转,275 ms,60 Mbps,7755 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,235 ms,58 Mbps,7473 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,213 ms,59 Mbps,7557 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,244 ms,58 Mbps,7547 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,190 ms,80 Mbps,10240 kB/s
146.56.44.85,443,146.56.44.85,KR,Tokyo,中转,192 ms,40 Mbps,5150 kB/s
130.162.140.215,443,130.162.140.215,KR,Tokyo,中转,193 ms,38 Mbps,4951 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,220 ms,27 Mbps,3573 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,223 ms,59 Mbps,7638 kB/s
140.238.65.48,443,140.238.65.48,GB,London,中转,75 ms,264 Mbps,33792 kB/s
47.57.14.118,443,47.254.16.242,US,San Jose,隧道,214 ms,0 Mbps,6 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,222 ms,59 Mbps,7560 kB/s
8.211.55.134,443,2a0b:21c0:100a:1f9:0:40d4:add0:585e,DE,Frankfurt,隧道,88 ms,127 Mbps,16281 kB/s
130.61.87.219,443,130.61.87.219,DE,,中转,87 ms,253 Mbps,32460 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,86 ms,41 Mbps,5255 kB/s
8.209.111.45,443,2a0b:21c0:100a:1f9:0:473a:c91c:bac3,DE,Frankfurt,隧道,89 ms,84 Mbps,10752 kB/s
3.135.41.11,443,3.135.41.11,US,Chicago,中转,32 ms,495 Mbps,63385 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,35 ms,46 Mbps,5922 kB/s
168.138.71.220,443,168.138.71.220,CA,Montréal,中转,56 ms,64 Mbps,8276 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::c:2ea,US,Los Angeles,隧道,153 ms,67 Mbps,8606 kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,86 ms,44 Mbps,5652 kB/s
141.147.97.37,443,141.147.97.37,GB,London,中转,80 ms,262 Mbps,33587 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,223 ms,72 Mbps,9298 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,224 ms,70 Mbps,9039 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,224 ms,80 Mbps,10240 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,222 ms,69 Mbps,8959 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,223 ms,73 Mbps,9368 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,223 ms,66 Mbps,8509 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,222 ms,66 Mbps,8556 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,224 ms,67 Mbps,8631 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,183 ms,29 Mbps,3773 kB/s
8.219.190.62,443,8.219.190.62,SG,Singapore,中转,222 ms,59 Mbps,7605 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,299 ms,31 Mbps,3989 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,276 ms,33 Mbps,4234 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,223 ms,58 Mbps,7541 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,223 ms,67 Mbps,8608 kB/s
146.56.46.84,443,146.56.46.84,KR,Tokyo,中转,184 ms,40 Mbps,5206 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,187 ms,99 Mbps,12697 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,223 ms,63 Mbps,8145 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,223 ms,2 Mbps,264 kB/s
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,201 ms,4 Mbps,565 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,94 ms,62 Mbps,8036 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,217 ms,34 Mbps,4474 kB/s
