中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,693 Mbps,88780 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,102 ms,319 Mbps,40857 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,36 ms,560 Mbps,71782 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,20 ms,439 Mbps,56217 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,69 ms,292 Mbps,37376 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,18 ms,38 Mbps,4966 kB/s
35.230.79.26,443,34.83.26.184,US,Seattle,隧道,134 ms,280 Mbps,35942 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,76 ms,396 Mbps,50790 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,634 Mbps,81203 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,287 Mbps,36761 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,47 Mbps,6068 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,97 ms,268 Mbps,34406 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,61 ms,49 Mbps,6363 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,77 ms,275 Mbps,35225 kB/s
35.198.83.144,443,2a0b:21c0:1007:c9:0:28ce:7901:d5cd,DE,Frankfurt,隧道,98 ms,169 Mbps,21708 kB/s
34.154.110.117,443,2a0b:21c0:100a:1b7:0:1acd:13ef:4226,DE,Frankfurt,隧道,98 ms,111 Mbps,14233 kB/s
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,100 ms,245 Mbps,31436 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,244 Mbps,31232 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,84 ms,296 Mbps,37888 kB/s
141.144.192.168,443,2a0b:21c0:1007:ca:0:2468:4e39:73c9,DE,Frankfurt,隧道,90 ms,197 Mbps,25292 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,89 ms,216 Mbps,27750 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,87 ms,231 Mbps,29593 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,195 Mbps,24985 kB/s
144.21.48.8,443,2a0b:21c0:100a:1fa:0:c8d4:9dad:9119,DE,Frankfurt,隧道,225 ms,109 Mbps,14028 kB/s
35.197.23.75,443,34.83.26.184,US,Seattle,隧道,68 ms,291 Mbps,37273 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,208 Mbps,26726 kB/s
141.144.252.145,443,2a0b:21c0:1007:1ca:0:a885:13e4:dd57,DE,Frankfurt,隧道,118 ms,142 Mbps,18227 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,87 ms,242 Mbps,31027 kB/s
138.3.249.118,443,2a0b:21c0:1007:1c7:0:32ad:3072:f187,DE,Frankfurt,隧道,90 ms,175 Mbps,22425 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,88 ms,47 Mbps,6114 kB/s
130.162.170.215,443,2a0b:21c0:100a:1b6:0:d965:efaa:3ad8,DE,Frankfurt,隧道,100 ms,131 Mbps,16793 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,101 ms,131 Mbps,16793 kB/s
158.101.222.11,443,2606:f240:f00:eaf1:0:6706:4aaa:9590,US,Frankfurt,隧道,93 ms,128 Mbps,16384 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,75 ms,50 Mbps,6474 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,73 ms,325 Mbps,41676 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,109 ms,96 Mbps,12390 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,108 ms,45 Mbps,5854 kB/s
141.147.87.84,443,2a0b:21c0:100a:1b7:0:4064:1614:3848,DE,Frankfurt,隧道,129 ms,124 Mbps,15872 kB/s
141.147.72.188,443,2a0b:21c0:1007:cb:0:20b:f291:c249,DE,Frankfurt,隧道,93 ms,186 Mbps,23859 kB/s
141.147.86.17,443,2a0b:21c0:100a:1b0:0:f31d:a6c9:7710,DE,Frankfurt,隧道,94 ms,118 Mbps,15155 kB/s
141.144.201.252,443,2a0b:21c0:1007:cb:0:e5fb:dcdb:4b58,DE,Frankfurt,隧道,153 ms,164 Mbps,21094 kB/s
141.147.79.67,443,2a0b:21c0:100a:1b4:0:ac4b:9d2a:64b3,DE,Frankfurt,隧道,206 ms,122 Mbps,15667 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,222 ms,2 Mbps,283 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,97 Mbps,12492 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,97 ms,42 Mbps,5438 kB/s
129.159.254.120,443,2a0b:21c0:1007:1cb:0:dacf:ee14:e926,DE,Frankfurt,隧道,91 ms,188 Mbps,24064 kB/s
141.147.96.217,443,2a0b:21c0:100a:1b1:0:b9f3:dda6:c865,DE,Frankfurt,隧道,103 ms,118 Mbps,15155 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,217 ms,16 Mbps,2119 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,244 ms,68 Mbps,8788 kB/s
152.67.44.30,443,152.67.44.30,BR,Rio de Janeiro,中转,114 ms,46 Mbps,5933 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,223 ms,59 Mbps,7559 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,188 ms,72 Mbps,9238 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,224 ms,0 Mbps,98 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,97 Mbps,12492 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,239 ms,71 Mbps,9105 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,223 ms,69 Mbps,8892 kB/s
138.2.11.89,443,2602:ffe4:407:21d9:0:1418:fbc5:fcbb,SG,Singapore,隧道,223 ms,69 Mbps,8911 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,204 ms,64 Mbps,8274 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,98 ms,6 Mbps,791 kB/s
155.248.165.81,443,2602:ffe4:407:20da:0:759e:6ef:ff2e,SG,Singapore,隧道,328 ms,64 Mbps,8220 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,223 ms,68 Mbps,8759 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,323 ms,75 Mbps,9648 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,89 ms,247 Mbps,31641 kB/s
152.70.248.96,443,2a09:bac5:4750:1a14::299:2f,KR,Seoul,隧道,184 ms,3 Mbps,501 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,219 ms,58 Mbps,7506 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,24 ms,533 Mbps,68300 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,92 ms,126 Mbps,16179 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,92 ms,224 Mbps,28774 kB/s
204.110.220.3,443,204.110.220.175,US,,隧道,89 ms,203 Mbps,26009 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,47 ms,408 Mbps,52326 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,79 ms,277 Mbps,35532 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,227 ms,67 Mbps,8582 kB/s
141.145.199.188,443,141.145.199.188,233 Mbps,29900 kB/s
141.145.199.188,,,隧道,0 ms,null Mbps,null kB/s
34.69.150.180,443,34.69.150.180,US,,中转,33 ms,644 Mbps,82432 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,39 ms,864 Mbps,110592 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,94 ms,49 Mbps,6304 kB/s
54.203.85.46,443,204.110.220.75,US,,隧道,80 ms,166 Mbps,21299 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,87 ms,141 Mbps,18124 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,99 ms,197 Mbps,25292 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,212 ms,57 Mbps,7412 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,94 ms,236 Mbps,30310 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,93 ms,252 Mbps,32256 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,88 ms,248 Mbps,31744 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,89 ms,238 Mbps,30515 kB/s
103.137.63.3,443,61.224.78.76,TW,,隧道,206 ms,75 Mbps,9712 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,244 Mbps,31334 kB/s
8.222.181.139,443,8.222.175.6,SG,,隧道,219 ms,66 Mbps,8565 kB/s
129.159.200.239,443,2a0b:21c0:100a:1b2:0:87bc:43b2:64e3,DE,Frankfurt,隧道,146 ms,113 Mbps,14540 kB/s
140.238.15.251,443,140.238.15.251,KR,Seoul,中转,185 ms,33 Mbps,4267 kB/s
141.148.238.134,443,2a0b:21c0:100a:1b5:0:26b1:2a91:a25c,DE,Frankfurt,隧道,129 ms,115 Mbps,14745 kB/s
141.144.205.244,443,2606:f240:f00:eaf1:0:c43:1ec7:cb87,US,Frankfurt,隧道,90 ms,120 Mbps,15360 kB/s
140.238.120.138,443,2a0b:21c0:1007:c7:0:f7a6:4171:1fdd,DE,Frankfurt,隧道,89 ms,188 Mbps,24166 kB/s
141.147.59.35,443,2a0b:21c0:1007:c7:0:505a:8110:5384,DE,Frankfurt,隧道,88 ms,193 Mbps,24780 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,22 ms,61 Mbps,7834 kB/s
144.21.61.68,443,2606:f240:f00:a683:0:4f31:598e:403a,US,Frankfurt,隧道,88 ms,224 Mbps,28672 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,215 ms,30 Mbps,3962 kB/s
152.67.65.201,443,152.67.65.201,CH,Milan,中转,96 ms,31 Mbps,3980 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,92 ms,65 Mbps,8364 kB/s
130.162.181.136,443,2a0b:21c0:100a:1fa:0:d0bf:6951:cdcf,DE,Frankfurt,隧道,165 ms,117 Mbps,15052 kB/s
130.162.59.2,443,2a0b:21c0:100a:1b2:0:c9ee:6935:187f,DE,Frankfurt,隧道,87 ms,120 Mbps,15360 kB/s
152.70.163.0,443,2a0b:21c0:100a:1b0:0:6c11:b114:aa1,DE,Frankfurt,隧道,87 ms,148 Mbps,18944 kB/s
129.159.198.175,443,2a0b:21c0:1007:ca:0:53d3:7e3e:8036,DE,Frankfurt,隧道,93 ms,163 Mbps,20889 kB/s
130.162.254.228,443,2a0b:21c0:1007:1ca:0:f4b8:e20d:dad8,DE,Frankfurt,隧道,147 ms,181 Mbps,23244 kB/s
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,90 ms,321 Mbps,41164 kB/s
158.101.84.191,443,128.14.104.155,US,Singapore,隧道,239 ms,60 Mbps,7805 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,225 ms,66 Mbps,8542 kB/s
