中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,69 ms,321 Mbps,41164 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,552 Mbps,70758 kB/s
198.46.188.190,443,2a09:bac5:a5fb:7cd::c7:c,US,Buffalo,隧道,21 ms,87 Mbps,11161 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,40 ms,50 Mbps,6488 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,149 ms,77 Mbps,9932 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,276 Mbps,35328 kB/s
193.122.197.111,443,193.122.197.111,,Ashburn,中转,0 ms,378 Mbps,48435 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,130 ms,286 Mbps,36659 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,764 Mbps,97894 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,243 Mbps,31129 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,229 Mbps,29388 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,91 ms,49 Mbps,6296 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,60 ms,45 Mbps,5858 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,69 ms,550 Mbps,70451 kB/s
34.154.110.117,443,2a0b:21c0:100a:1b7:0:1acd:13ef:4226,DE,Frankfurt,隧道,106 ms,117 Mbps,15052 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,74 ms,333 Mbps,42700 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,56 ms,78 Mbps,9997 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,224 Mbps,28774 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,89 ms,229 Mbps,29388 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,43 Mbps,5566 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,101 Mbps,13004 kB/s
35.230.79.26,443,34.83.26.184,US,Seattle,隧道,68 ms,342 Mbps,43827 kB/s
47.254.150.157,443,2606:f240:f00:6acf:0:c883:1077:3542,US,Frankfurt,隧道,88 ms,247 Mbps,31641 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,284 Mbps,36352 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,64 ms,525 Mbps,67276 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,76 ms,268 Mbps,34406 kB/s
35.197.23.75,443,34.83.26.184,US,Seattle,隧道,67 ms,316 Mbps,40448 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,50 ms,64 Mbps,8196 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,212 Mbps,27136 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,76 ms,248 Mbps,31846 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,221 ms,196 Mbps,25088 kB/s
34.82.76.253,443,34.168.30.215,US,Seattle,隧道,73 ms,299 Mbps,38297 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,199 Mbps,25497 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,323 Mbps,41369 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,74 ms,296 Mbps,37888 kB/s
130.61.204.6,443,2606:f240:f00:5a42:0:7c38:2866:3377,US,Frankfurt,隧道,90 ms,246 Mbps,31539 kB/s
141.144.248.92,443,2a0b:21c0:100a:1b5:0:220d:1a4f:6161,DE,Frankfurt,隧道,230 ms,134 Mbps,17203 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,10 ms,38 Mbps,4972 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,121 ms,220 Mbps,28262 kB/s
8.211.44.235,443,2a0b:21c0:100a:1b6:0:8e6f:794e:cb4b,DE,Frankfurt,隧道,96 ms,131 Mbps,16793 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,98 ms,4 Mbps,553 kB/s
130.162.182.76,443,130.162.182.76,GB,London,中转,83 ms,259 Mbps,33177 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,116 Mbps,14848 kB/s
138.3.248.179,443,2606:f240:f00:2be4:0:ce42:bf05:e010,US,Frankfurt,隧道,91 ms,224 Mbps,28774 kB/s
152.70.58.40,443,2a0b:21c0:100a:1b5:0:b742:18e5:9ec6,DE,Frankfurt,隧道,102 ms,122 Mbps,15667 kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,91 ms,44 Mbps,5711 kB/s
144.21.56.40,443,2606:f240:f00:5a42:0:66a6:484b:98b9,US,Frankfurt,隧道,156 ms,204 Mbps,26214 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,283 ms,33 Mbps,4293 kB/s
141.148.246.193,443,2a0b:21c0:1007:1c8:0:6b84:1ff9:c6f3,DE,Frankfurt,隧道,101 ms,211 Mbps,27033 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,203 ms,80 Mbps,10342 kB/s
168.138.201.0,443,168.138.201.0,JP,Osaka,中转,217 ms,31 Mbps,4014 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,222 ms,59 Mbps,7651 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,214 ms,29 Mbps,3813 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,220 ms,61 Mbps,7841 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,218 ms,57 Mbps,7320 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,217 ms,28 Mbps,3685 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,351 ms,1 Mbps,255 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,222 ms,64 Mbps,8275 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,218 ms,65 Mbps,8437 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,223 ms,48 Mbps,6249 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,347 ms,70 Mbps,9040 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,56 ms,481 Mbps,61644 kB/s
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,227 ms,46 Mbps,5888 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,213 ms,69 Mbps,8851 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,88 ms,257 Mbps,32972 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,26 ms,516 Mbps,66150 kB/s
8.219.66.156,443,8.219.66.156,SG,Osaka,中转,219 ms,66 Mbps,8500 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,80 ms,267 Mbps,34201 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,90 ms,233 Mbps,29900 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,91 ms,232 Mbps,29696 kB/s
103.137.63.3,443,122.118.168.20,TW,,隧道,209 ms,75 Mbps,9641 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,84 ms,207 Mbps,26521 kB/s
140.238.15.251,443,140.238.15.251,KR,Tokyo,中转,232 ms,24 Mbps,3138 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,92 ms,216 Mbps,27648 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,92 ms,180 Mbps,23142 kB/s
204.110.220.3,443,204.110.220.175,US,,隧道,203 ms,204 Mbps,26112 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,23 ms,872 Mbps,111616 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,86 ms,5 Mbps,755 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,90 ms,236 Mbps,30310 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,92 ms,228 Mbps,29184 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,87 ms,3 Mbps,427 kB/s
54.203.85.46,443,204.110.220.75,US,,隧道,109 ms,205 Mbps,26316 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,101 ms,218 Mbps,27955 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,94 ms,219 Mbps,28057 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,225 ms,63 Mbps,8150 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,209 ms,150 Mbps,19251 kB/s
