中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,170 ms,77 Mbps,9932 kB/s
130.162.160.158,443,2a0b:21c0:100a:1b6:0:6a58:a61b:9d92,DE,Frankfurt,隧道,157 ms,92 Mbps,11776 kB/s
8.219.109.183,443,8.219.109.183,SG,Singapore,中转,169 ms,90 Mbps,11571 kB/s
54.203.85.46,443,204.110.220.165,US,,隧道,33 ms,465 Mbps,59596 kB/s
103.137.63.3,443,61.224.73.100,TW,,隧道,157 ms,123 Mbps,15769 kB/s
141.147.66.79,443,2a0b:21c0:100a:1fa:0:7b8d:4ab9:4256,DE,Frankfurt,隧道,158 ms,55 Mbps,7041 kB/s
193.123.36.210,443,209.177.81.218,US,Frankfurt,隧道,155 ms,102 Mbps,13107 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,142 ms,127 Mbps,16281 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,169 ms,80 Mbps,10342 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,21 ms,772 Mbps,98918 kB/s
144.24.88.91,443,2602:ffe4:407:20d9:0:ef6e:2f0e:305a,SG,Singapore,隧道,188 ms,81 Mbps,10444 kB/s
152.70.54.96,443,2606:f240:f00:6acf:0:ea82:b1f:3bd0,US,Frankfurt,隧道,254 ms,94 Mbps,12083 kB/s
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,170 ms,77 Mbps,9879 kB/s
34.70.91.86,443,34.70.91.86,US,,中转,57 ms,429 Mbps,54988 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,162 ms,0 Mbps,17 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,38 ms,385 Mbps,49356 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,155 ms,33 Mbps,4319 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,55 ms,361 Mbps,46284 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,156 ms,2 Mbps,376 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,185 ms,285 Mbps,36556 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,67 ms,315 Mbps,40345 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,148 ms,107 Mbps,13721 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,218 ms,116 Mbps,14950 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,100 Mbps,12800 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,104 ms,300 Mbps,38400 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,97 Mbps,12492 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,163 ms,122 Mbps,15667 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,219 ms,16 Mbps,2096 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,158 ms,117 Mbps,15052 kB/s
143.47.181.144,443,98.98.156.14,AE,Frankfurt,隧道,218 ms,100 Mbps,12800 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,120 Mbps,15462 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,108 Mbps,13824 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,161 ms,112 Mbps,14438 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,11 ms,1048 Mbps,134144 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,165 ms,104 Mbps,13312 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,159 ms,104 Mbps,13414 kB/s
141.147.31.98,443,2606:f240:f00:dd8d:0:aa56:d4cb:cdd7,US,Frankfurt,隧道,156 ms,109 Mbps,14028 kB/s
150.230.114.189,443,2a0b:21c0:1007:1c9:0:3b91:6709:76e2,DE,Frankfurt,隧道,157 ms,94 Mbps,12083 kB/s
138.2.183.121,443,2a0b:21c0:1007:1c7:0:2b96:5b35:e525,DE,Frankfurt,隧道,155 ms,83 Mbps,10649 kB/s
141.148.227.205,443,2a0b:21c0:1007:ca:0:ef0f:c29:f63e,DE,Frankfurt,隧道,154 ms,84 Mbps,10752 kB/s
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,222 ms,109 Mbps,14028 kB/s
138.2.26.1,443,2602:ffe4:407:21d9:0:7e1c:19f3:fdd6,SG,Singapore,隧道,170 ms,92 Mbps,11776 kB/s
132.226.0.109,443,2602:ffe4:407:20da:0:9942:f6d9:d730,SG,Singapore,隧道,169 ms,112 Mbps,14336 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,168 ms,70 Mbps,9005 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,11 ms,1624 Mbps,207872 kB/s
132.226.195.106,443,2a0b:21c0:100a:1b1:0:5b:d965:d7c3,DE,Frankfurt,隧道,156 ms,94 Mbps,12083 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,73 ms,49 Mbps,6330 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,171 ms,26 Mbps,3408 kB/s
47.243.107.148,443,47.243.107.148,HK,Hong Kong,中转,193 ms,95 Mbps,12185 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,170 ms,84 Mbps,10752 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,156 ms,78 Mbps,10035 kB/s
140.238.15.251,443,140.238.15.251,KR,Seoul,中转,130 ms,25 Mbps,3203 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,74 ms,46 Mbps,5956 kB/s
152.69.229.110,443,2602:ffe4:407:20da:0:44ff:338e:585,SG,Singapore,隧道,188 ms,79 Mbps,10137 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,149 ms,64 Mbps,8316 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,168 ms,64 Mbps,8278 kB/s
143.47.225.120,443,2a0b:21c0:1007:1cb:0:1ae0:4562:bdfe,DE,Frankfurt,隧道,156 ms,90 Mbps,11571 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,169 ms,54 Mbps,6986 kB/s
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,191 ms,31 Mbps,3994 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,169 ms,88 Mbps,11366 kB/s
141.147.108.248,443,98.98.166.58,AE,Frankfurt,隧道,278 ms,115 Mbps,14745 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,155 ms,44 Mbps,5641 kB/s
