中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.103.203,443,43.153.103.203,US,San Jose,中转,65 ms,348 Mbps,44544 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,522 Mbps,66867 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,90 ms,165 Mbps,21196 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,107 ms,252 Mbps,32358 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,65 ms,363 Mbps,46489 kB/s
35.197.23.75,443,34.83.206.197,US,Seattle,隧道,142 ms,320 Mbps,41062 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,141 ms,328 Mbps,41984 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,344 Mbps,44134 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,480 Mbps,61542 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,40 ms,570 Mbps,73011 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,47 ms,522 Mbps,66867 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::c:2cf,US,Los Angeles,隧道,120 ms,64 Mbps,8313 kB/s
35.230.79.26,443,34.83.206.197,US,Seattle,隧道,69 ms,314 Mbps,40243 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,68 ms,46 Mbps,5927 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,40 ms,80 Mbps,10240 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,14 ms,271 Mbps,34713 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,128 ms,71 Mbps,9206 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,44 Mbps,5702 kB/s
198.46.188.190,443,2a09:bac1:76a0:118::c7:11,US,Buffalo,隧道,29 ms,77 Mbps,9932 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,71 ms,253 Mbps,32460 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,91 ms,138 Mbps,17715 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,287 Mbps,36761 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,64 ms,365 Mbps,46796 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,266 Mbps,34099 kB/s
144.24.160.123,443,2a0b:21c0:100a:1b2:0:130b:4bd3:9d4e,DE,Frankfurt,隧道,128 ms,108 Mbps,13926 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,245 Mbps,31436 kB/s
141.144.203.231,443,2606:f240:f00:eaf1:0:5e57:a7b3:6603,US,Frankfurt,隧道,93 ms,116 Mbps,14848 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,90 ms,49 Mbps,6363 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,235 Mbps,30105 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,65 ms,313 Mbps,40140 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,66 ms,45 Mbps,5802 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,109 Mbps,14028 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,209 Mbps,26828 kB/s
144.21.42.64,443,2606:f240:f00:b2ed:0:5fa8:48ee:58e7,US,Frankfurt,隧道,101 ms,183 Mbps,23449 kB/s
141.147.104.78,443,98.98.166.182,AE,Frankfurt,隧道,97 ms,157 Mbps,20172 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,89 ms,243 Mbps,31129 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,212 Mbps,27238 kB/s
130.162.44.250,443,2606:f240:f00:2be4:0:90d8:edc7:d379,US,Frankfurt,隧道,90 ms,160 Mbps,20480 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,206 ms,93 Mbps,11980 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,91 ms,42 Mbps,5463 kB/s
141.148.241.70,443,2a0b:21c0:100a:1b7:0:6dc3:185a:4b9d,DE,Frankfurt,隧道,93 ms,116 Mbps,14950 kB/s
144.21.33.130,443,2606:f240:f00:5a42:0:5993:7a72:dd39,US,Frankfurt,隧道,117 ms,179 Mbps,22937 kB/s
141.148.242.15,443,2a0b:21c0:100a:1b1:0:63c1:7181:6bd3,DE,Frankfurt,隧道,97 ms,125 Mbps,16076 kB/s
