中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,101 ms,207 Mbps,26521 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,57 ms,77 Mbps,9934 kB/s
138.197.104.86,443,138.197.104.86,US,Newark,中转,27 ms,688 Mbps,88064 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,52 ms,43 Mbps,5562 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,54 ms,92 Mbps,11878 kB/s
141.147.79.98,443,98.98.166.174,AE,Frankfurt,隧道,107 ms,172 Mbps,22016 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,21 ms,5 Mbps,761 kB/s
104.131.1.43,443,2604:a880:800:10::ddf:b001,US,Newark,隧道,35 ms,732 Mbps,93696 kB/s
150.230.117.119,443,2606:f240:f00:a683:0:503e:5533:9500,US,Frankfurt,隧道,105 ms,167 Mbps,21401 kB/s
158.101.221.41,443,2a0b:21c0:1007:c7:0:b094:a825:d2b2,DE,Frankfurt,隧道,106 ms,175 Mbps,22425 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,93 ms,44 Mbps,5642 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,59 ms,50 Mbps,6425 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,71 ms,130 Mbps,16691 kB/s
152.67.231.226,443,2603:c024:c011:e604:b4a7:a00f:ce99:dfa9,US,San Jose,隧道,51 ms,417 Mbps,53452 kB/s
141.147.85.247,443,2606:f240:f00:eaf1:0:f624:2be6:9ec1,US,Frankfurt,隧道,108 ms,98 Mbps,12595 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,94 ms,212 Mbps,27136 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,64 ms,128 Mbps,16384 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,94 ms,44 Mbps,5687 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,20 ms,4 Mbps,554 kB/s
144.21.58.113,443,2a0b:21c0:1007:1ca:0:ee2a:bd4b:6293,DE,Frankfurt,隧道,109 ms,168 Mbps,21504 kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,109 ms,45 Mbps,5871 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,92 ms,212 Mbps,27238 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,54 ms,37 Mbps,4811 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,115 ms,43 Mbps,5626 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,100 ms,176 Mbps,22528 kB/s
144.21.59.35,443,2a0b:21c0:1007:cb:0:f97c:d4e2:3c65,DE,Frankfurt,隧道,107 ms,162 Mbps,20787 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,107 Mbps,13721 kB/s
130.162.238.50,443,2a0b:21c0:1007:c7:0:2f94:fa86:7151,DE,Frankfurt,隧道,107 ms,204 Mbps,26112 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,51 ms,46 Mbps,5989 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,113 ms,109 Mbps,14028 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,205 ms,0 Mbps,64 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,205 ms,136 Mbps,17510 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,168 ms,95 Mbps,12185 kB/s
143.47.225.233,443,2606:f240:f00:a683:0:7c2d:51a:10f4,US,Frankfurt,隧道,106 ms,181 Mbps,23244 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,204 ms,37 Mbps,4777 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,104 ms,46 Mbps,5927 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,106 ms,45 Mbps,5813 kB/s
140.238.80.122,443,98.98.166.174,AE,Frankfurt,隧道,129 ms,161 Mbps,20684 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,173 ms,55 Mbps,7129 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,191 ms,68 Mbps,8754 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,195 ms,34 Mbps,4476 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,208 ms,77 Mbps,9942 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,205 ms,38 Mbps,4944 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,205 ms,69 Mbps,8892 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,207 ms,68 Mbps,8738 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,211 ms,77 Mbps,9857 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,206 ms,67 Mbps,8661 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,206 ms,75 Mbps,9679 kB/s
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,206 ms,63 Mbps,8137 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,206 ms,60 Mbps,7807 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,202 ms,66 Mbps,8489 kB/s
140.238.40.67,443,140.238.40.67,JP,Tokyo,中转,203 ms,28 Mbps,3605 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,209 ms,78 Mbps,9989 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,206 ms,76 Mbps,9779 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,213 ms,88 Mbps,11264 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,174 ms,3 Mbps,431 kB/s
193.122.110.171,443,193.122.110.171,KR,Tokyo,中转,166 ms,36 Mbps,4717 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,209 ms,66 Mbps,8557 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,206 ms,70 Mbps,9080 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,205 ms,65 Mbps,8402 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,156 ms,22 Mbps,2923 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,209 ms,66 Mbps,8498 kB/s
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,194 ms,59 Mbps,7647 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,212 ms,64 Mbps,8228 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,207 ms,31 Mbps,4015 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,206 ms,50 Mbps,6444 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,205 ms,66 Mbps,8537 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,208 ms,77 Mbps,9932 kB/s
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,205 ms,77 Mbps,9932 kB/s
47.242.224.48,443,47.242.224.48,HK,Hong Kong,中转,195 ms,2 Mbps,354 kB/s
8.219.190.62,443,8.219.190.62,SG,Singapore,中转,206 ms,72 Mbps,9316 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,209 ms,57 Mbps,7336 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,211 ms,78 Mbps,10035 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,339 ms,33 Mbps,4247 kB/s
8.218.85.128,443,8.218.85.128,HK,Hong Kong,中转,193 ms,54 Mbps,6987 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,169 ms,69 Mbps,8863 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,206 ms,36 Mbps,4611 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,206 ms,77 Mbps,9932 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,189 ms,80 Mbps,10342 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,229 ms,61 Mbps,7871 kB/s
