中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,131 ms,42 Mbps,5390 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,25 ms,682 Mbps,87347 kB/s
141.147.105.110,443,2606:f240:f00:46c4:0:b8ea:916b:b5e2,US,Frankfurt,隧道,156 ms,81 Mbps,10444 kB/s
141.147.11.238,443,2a0b:21c0:1007:ca:0:e57a:4d10:3955,DE,Munich,隧道,153 ms,125 Mbps,16076 kB/s
150.230.20.181,443,2a0b:21c0:1007:1c9:0:5627:11a:af40,DE,Frankfurt,隧道,153 ms,118 Mbps,15155 kB/s
130.162.245.157,443,98.98.166.58,AE,Frankfurt,隧道,278 ms,120 Mbps,15360 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,171 ms,75 Mbps,9659 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,162 ms,2 Mbps,340 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,21 ms,530 Mbps,67891 kB/s
158.101.201.148,443,2a0b:21c0:100a:1b5:0:2282:82e0:e0d1,DE,Frankfurt,隧道,153 ms,113 Mbps,14540 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,56 ms,379 Mbps,48537 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,174 ms,106 Mbps,13619 kB/s
103.137.63.3,443,61.224.101.129,TW,,隧道,151 ms,116 Mbps,14950 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,147 ms,101 Mbps,13004 kB/s
34.70.91.86,443,34.70.91.86,US,,中转,137 ms,400 Mbps,51302 kB/s
54.203.85.46,443,204.110.220.196,US,,隧道,88 ms,549 Mbps,70348 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,72 ms,20 Mbps,2583 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,172 ms,70 Mbps,9012 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,65 ms,19 Mbps,2518 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,130 ms,574 Mbps,73523 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,148 ms,120 Mbps,15462 kB/s
150.230.116.13,443,2a0b:21c0:100a:1fa:0:3190:472e:e2c2,DE,Frankfurt,隧道,155 ms,110 Mbps,14131 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,160 ms,96 Mbps,12390 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,158 ms,110 Mbps,14131 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,262 ms,288 Mbps,36864 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,160 ms,108 Mbps,13926 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,111 Mbps,14233 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,161 ms,104 Mbps,13312 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,104 Mbps,13414 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,161 ms,105 Mbps,13516 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,227 ms,45 Mbps,5883 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,105 Mbps,13516 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,158 ms,100 Mbps,12902 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,132 ms,84 Mbps,10854 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,170 ms,72 Mbps,9235 kB/s
141.147.74.20,443,141.147.74.20,GB,London,中转,141 ms,144 Mbps,18432 kB/s
150.230.120.172,443,2a0b:21c0:100a:1b1:0:feca:7f90:5265,DE,Frankfurt,隧道,156 ms,120 Mbps,15360 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,129 ms,117 Mbps,15052 kB/s
141.148.237.161,443,2a0b:21c0:100a:1b2:0:8c0f:613b:3f92,DE,Frankfurt,隧道,153 ms,122 Mbps,15667 kB/s
143.47.232.75,443,2a0b:21c0:1007:1c8:0:b80d:e9f8:9a06,DE,Frankfurt,隧道,155 ms,120 Mbps,15462 kB/s
140.83.37.223,443,2a09:bac1:3b20:138::2ff:4e,JP,Osaka,隧道,160 ms,112 Mbps,14438 kB/s
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,170 ms,74 Mbps,9547 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,170 ms,78 Mbps,10035 kB/s
141.144.238.41,443,2606:f240:f00:b2ed:0:605e:3b66:37c7,US,Zurich,隧道,156 ms,98 Mbps,12595 kB/s
47.242.41.222,443,47.242.41.222,HK,Hong Kong,中转,152 ms,31 Mbps,4009 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,75 ms,47 Mbps,6084 kB/s
144.21.33.120,443,2a0b:21c0:1007:c8:0:caa9:abd9:6a62,DE,Frankfurt,隧道,154 ms,121 Mbps,15564 kB/s
