中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.230.44.13,443,150.230.44.13,US,San Jose,中转,2 ms,363 Mbps,46489 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,158 ms,39 Mbps,5004 kB/s
152.67.231.226,443,2603:c024:c011:e604:b4a7:a00f:ce99:dfa9,US,San Jose,隧道,13 ms,816 Mbps,104448 kB/s
152.67.254.70,443,152.67.254.70,US,San Jose,中转,21 ms,10 Mbps,1374 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,13 ms,1736 Mbps,222208 kB/s
130.162.244.159,443,2a0b:21c0:100a:1fa:0:11e9:dd6d:2b73,DE,Frankfurt,隧道,153 ms,96 Mbps,12288 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,75 ms,285 Mbps,36556 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,79 Mbps,10137 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,74 ms,51 Mbps,6604 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,64 ms,50 Mbps,6417 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,316 ms,7 Mbps,973 kB/s
146.56.146.67,443,146.56.146.67,KR,Tokyo,中转,129 ms,140 Mbps,17920 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,170 ms,69 Mbps,8867 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,176 ms,125 Mbps,16076 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,121 Mbps,15564 kB/s
141.147.63.141,443,2a0b:21c0:100a:1b7:0:c857:dd8a:67c8,DE,Amsterdam,隧道,153 ms,116 Mbps,14950 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,107 ms,35 Mbps,4561 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,141 ms,126 Mbps,16179 kB/s
141.147.82.136,443,23.236.112.222,AE,Frankfurt,隧道,155 ms,101 Mbps,13004 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,156 ms,87 Mbps,11161 kB/s
152.67.136.133,443,98.98.156.34,AE,Frankfurt,隧道,155 ms,92 Mbps,11878 kB/s
138.2.131.231,443,98.98.166.202,AE,Frankfurt,隧道,153 ms,99 Mbps,12697 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,170 ms,69 Mbps,8932 kB/s
141.147.178.154,443,141.147.178.154,JP,Tokyo,中转,157 ms,41 Mbps,5266 kB/s
138.3.212.86,443,2602:ffe4:407:20d9:0:8801:1ad0:9a56,SG,Singapore,隧道,190 ms,87 Mbps,11161 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,172 ms,86 Mbps,11059 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,156 ms,98 Mbps,12595 kB/s
141.144.204.175,443,98.98.166.190,AE,Frankfurt,隧道,159 ms,90 Mbps,11571 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,175 ms,101 Mbps,13004 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,168 ms,73 Mbps,9421 kB/s
8.222.233.183,443,8.222.233.183,SG,Singapore,中转,170 ms,92 Mbps,11776 kB/s
