中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,210 ms,31 Mbps,4022 kB/s
193.123.81.105,443,193.123.81.105,AE,Milan,中转,207 ms,35 Mbps,4540 kB/s
158.180.84.232,443,2602:ffe4:407:20da:0:12d0:c199:a0f3,SG,Singapore,隧道,264 ms,61 Mbps,7924 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,144 ms,43 Mbps,5527 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,224 ms,36 Mbps,4730 kB/s
146.56.139.132,443,2602:ffe4:407:21d9:0:82f6:4162:cf2,SG,Singapore,隧道,244 ms,62 Mbps,8027 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,112 ms,288 Mbps,36966 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,256 ms,34 Mbps,4392 kB/s
129.154.51.28,443,2602:ffe4:407:21d9:0:58fa:671d:d231,SG,Singapore,隧道,246 ms,57 Mbps,7391 kB/s
168.138.220.255,443,2602:ffe4:407:20d9:0:348e:1e91:acea,SG,Singapore,隧道,250 ms,63 Mbps,8173 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,207 ms,72 Mbps,9242 kB/s
129.150.53.95,443,129.150.53.95,SG,Singapore,中转,231 ms,56 Mbps,7247 kB/s
193.123.251.154,443,2602:ffe4:407:21d9:0:e35f:fed6:7072,SG,Singapore,隧道,247 ms,57 Mbps,7410 kB/s
143.47.224.181,443,163.123.193.23,DE,Frankfurt,隧道,132 ms,121 Mbps,15564 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,107 ms,40 Mbps,5130 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,251 ms,0 Mbps,69 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,106 ms,105 Mbps,13516 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,35 Mbps,4503 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,124 ms,312 Mbps,40038 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,213 ms,34 Mbps,4434 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,205 ms,69 Mbps,8903 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,241 ms,60 Mbps,7754 kB/s
144.24.89.82,443,2602:ffe4:407:21d9:0:77ac:6ea0:5f69,SG,Singapore,隧道,246 ms,57 Mbps,7390 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,273 ms,58 Mbps,7424 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,113 ms,17 Mbps,2216 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,246 ms,2 Mbps,314 kB/s
8.222.128.32,443,8.222.128.32,SG,Singapore,中转,238 ms,25 Mbps,3253 kB/s
150.230.252.78,443,2602:ffe4:407:20d9:0:36d7:800:3e9e,SG,Singapore,隧道,265 ms,53 Mbps,6816 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d0:70,US,San Jose,隧道,110 ms,68 Mbps,8788 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,252 ms,80 Mbps,10342 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,179 ms,31 Mbps,4027 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,253 ms,67 Mbps,8670 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,226 ms,32 Mbps,4113 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,101 ms,0 Mbps,8 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,96 ms,165 Mbps,21196 kB/s
150.230.149.208,443,150.230.149.208,DE,,中转,105 ms,129 Mbps,16588 kB/s
103.137.63.2,443,122.118.158.99,TW,,隧道,217 ms,67 Mbps,8623 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,198 ms,78 Mbps,10035 kB/s
