中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.89.244.253,443,47.89.244.253,US,San Jose,中转,3 ms,2 Mbps,291 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,49 ms,333 Mbps,42700 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,81 ms,4 Mbps,614 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,95 ms,0 Mbps,21 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,3 ms,187 Mbps,23961 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,103 Mbps,13209 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,20 ms,242 Mbps,31027 kB/s
129.146.111.62,443,129.146.111.62,US,Los Angeles,中转,20 ms,840 Mbps,107520 kB/s
47.253.86.6,443,47.253.86.6,US,Ashburn,中转,68 ms,195 Mbps,24985 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,78 ms,242 Mbps,31027 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,155 ms,66 Mbps,8537 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,171 ms,71 Mbps,9173 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,77 ms,32 Mbps,4172 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,152 ms,109 Mbps,14028 kB/s
152.70.178.136,443,23.236.112.222,AE,Frankfurt,隧道,153 ms,101 Mbps,13004 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,95 ms,62 Mbps,7971 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,151 ms,39 Mbps,5071 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,170 ms,74 Mbps,9483 kB/s
130.162.140.215,443,130.162.140.215,KR,Tokyo,中转,130 ms,42 Mbps,5444 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,24 ms,59 Mbps,7586 kB/s
132.226.209.90,443,2a0b:21c0:1007:cb:0:f23f:8e0:a1df,DE,Frankfurt,隧道,154 ms,85 Mbps,10956 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,154 ms,51 Mbps,6545 kB/s
141.147.97.37,443,141.147.97.37,GB,London,中转,142 ms,112 Mbps,14438 kB/s
152.70.55.170,443,2a0b:21c0:1007:1c8:0:4920:f8bf:f626,DE,Frankfurt,隧道,153 ms,100 Mbps,12902 kB/s
8.218.63.172,443,8.218.63.172,HK,Hong Kong,中转,158 ms,6 Mbps,805 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,172 ms,74 Mbps,9478 kB/s
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,157 ms,2 Mbps,321 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,144 ms,134 Mbps,17203 kB/s
193.122.101.195,443,193.122.101.195,KR,Hong Kong,中转,130 ms,128 Mbps,16384 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,174 ms,83 Mbps,10649 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,230 ms,124 Mbps,15872 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,175 ms,44 Mbps,5639 kB/s
138.2.17.131,443,2602:ffe4:407:20da:0:954e:5df1:5aa9,SG,Singapore,隧道,177 ms,98 Mbps,12595 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,170 ms,88 Mbps,11366 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,171 ms,84 Mbps,10854 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,158 ms,43 Mbps,5511 kB/s
130.162.184.227,443,2a0b:21c0:1007:cb:0:d8e:aa49:ee99,DE,Frankfurt,隧道,154 ms,93 Mbps,11980 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,170 ms,85 Mbps,10956 kB/s
47.254.155.237,443,2a0b:21c0:100a:1b1:0:1c46:d08b:19e6,DE,Frankfurt,隧道,160 ms,112 Mbps,14336 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,173 ms,103 Mbps,13209 kB/s
144.21.53.157,443,2603:c020:c005:8f7e:e75d:1445:1607:a7f3,GB,London,隧道,202 ms,83 Mbps,10649 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,170 ms,52 Mbps,6752 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,171 ms,99 Mbps,12697 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,142 ms,39 Mbps,5037 kB/s
150.230.113.200,443,2a0b:21c0:1007:c8:0:5b52:2272:b71,DE,Frankfurt,隧道,155 ms,104 Mbps,13312 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,175 ms,96 Mbps,12390 kB/s
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,217 ms,0 Mbps,34 kB/s
140.238.37.208,443,2603:c021:8014:2f20:8113:6e70:2fc2:cf3c,JP,Tokyo,隧道,326 ms,38 Mbps,4966 kB/s
150.230.125.94,443,2a0b:21c0:1007:1c7:0:6fdb:cbe0:c8e4,DE,Frankfurt,隧道,230 ms,117 Mbps,15052 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,179 ms,83 Mbps,10649 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,172 ms,87 Mbps,11161 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,254 ms,63 Mbps,8070 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,171 ms,88 Mbps,11264 kB/s
8.209.117.78,443,2606:f240:f00:6acf:0:36fe:1fab:9061,US,Frankfurt,隧道,156 ms,104 Mbps,13414 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,171 ms,73 Mbps,9383 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,217 ms,43 Mbps,5538 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,171 ms,63 Mbps,8140 kB/s
146.56.139.248,443,2602:ffe4:407:20da:0:e43c:ecc6:3b36,SG,Singapore,隧道,193 ms,82 Mbps,10547 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,171 ms,57 Mbps,7387 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,227 ms,67 Mbps,8607 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,178 ms,107 Mbps,13721 kB/s
8.217.49.34,443,8.217.49.34,HK,Hong Kong,中转,153 ms,95 Mbps,12185 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,245 ms,28 Mbps,3661 kB/s
8.217.64.144,443,8.217.64.144,HK,Hong Kong,中转,149 ms,93 Mbps,11980 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,202 ms,66 Mbps,8486 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,181 ms,95 Mbps,12185 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,181 ms,13 Mbps,1763 kB/s
